project_id,pres_title,speakers,bio,session,organization,source,abstract,confirmed,start_time,timestamp,collaborators,authors
BCSRIF_2022_454,NA,Owen Bird,NA,Fisheries Monitoring and Harvest Methods,Sport Fishing Institute of BC,BCSRIF,NA,Yes,10:30 AM,00:27:06,NA,NA
2412,NA,Chris Pearce,NA,Marine Stressors,DFO,DFO,"Under global climate change, co-occurrence of gradual physico-chemical changes in seawater and extreme events poses a substantial threat to marine ecosystems. The present study focused on the Northeast Pacific coastal region where coinciding rises in mean seasonal seawater temperatures and increasingly prevalent acute stressor events, such as heatwaves and low-pH upwellings, are occurring. Limacina helicina, a cold-water pteropod species of high abundance within the region’s zooplankton communities, is highly susceptible to climate change stressors, with documented impacts of ocean warming and acidification, including altered shell development, growth, and survival. To date, however, there has been minimal investigation of climate change effects on the species’ nutritional status under regionally-relevant conditions, thereby contributing to a continued lack of understanding of how climate change impacts at lower trophic levels may relay across wider ecosystems. To begin to address this, we examined the survival and fatty acid profile of L. helicina under future conditions via a laboratory experiment during which pteropods were exposed to singular and coinciding warming (mean summer seawater temperature + 4°C) and low-pH (~1500 ppm pCO2; Ωarag = 0.53) conditions, with fatty acid analyses carried out via gas chromatography at 48-h and 5-d timepoints. Results indicated a significant impact of pCO2 on pteropod nutritional status at 48 h and a significant impact of temperature on survival at 5 d. Additionally, fatty acid analyses of historical plankton samples, collected in the region over 2014–2023, were carried out to examine time-series changes in pteropod fatty acid profiles in relation to temperature records. Results indicated significant differences in a number of fatty acid fractions between year groups, and in the overall fatty acid profiles of a number of year groups (2016 and 2019; 2018 and 2021), the latter findings parallelled by minor to moderate divergences in seasonal temperature conditions. Overall, findings suggest that short-term low-pH upwelling events and, to a lesser degree, changing seawater temperature conditions may result in altered fatty acid composition in pteropods, potentially leading to shifts in nutritional quality and associated impacts on trophic energy transfer.",Yes,2:15 PM,03:41:30,NA,NA
2413,NA,"Akash Sastri, Kelly Young",NA,Marine Stressors,DFO,DFO,NA,Yes,1:30 PM,02:53:45,NA,NA
2416,NA,Andrew Ross,"Dr. Andrew Ross is a Research Scientist at the DFO Institute of Ocean Sciences in Sidney, B.C. Born and raised in England, Andrew first became fascinated by the ocean during summer holidays on the south coast and learned to SCUBA dive while studying for a B.Sc. in Chemistry at the University of Surrey. He earned his Ph.D. in Analytical and Marine Chemistry from the University of British Columbia, then led research in plant proteomics at NRC before joining DFO where he established the Marine Biotoxin Monitoring Program in 2020. Andrew is lead scientist on the PSSI project to investigate the levels and potential health impacts of exposure to biotoxins produced by harmful algae in Pacific salmon on the west coast of Vancouver Island.",Marine Stressors,DFO,DFO,NA,Yes,1:45 PM,03:08:15,NA,NA
2417,NA,Erika Eliason,NA,Fish Health,DFO,DFO,NA,Yes,,03:37:32,NA,NA
2418,NA,Erika Eliason,NA,Fish Health,DFO,DFO,NA,No,NA,,NA,NA
2421,Evaluating the usability of stress hormones in scales as biomarkers of chronic stress in Chinook Salmon smolts,Reid Williams,NA,Fish Health,DFO,DFO,"Chronic stress is often detrimental to the health and reproductive success of salmon, yet reliably measuring it is difficult. Recently, the stress hormone (cortisol) content of scales has shown potential in this regard. This lab study compares scale and plasma cortisol content of Chinook Salmon smolt under acute stress, and a combined chronic osmotic and thermal stress to evaluate the usability of scale cortisol as a biomarker of chronic stress under environmental stressors such as climate change.",Yes,,02:49:34,NA,NA
2422,Development and application of laser ablation-inductively coupled plasma-mass spectrometry to determine estuary entry size of juvenile salmonids and track habitat usage,"Nicole LaForge, Micah Quindazzi ","Nicole LaForge is a scientist who studies the microchemistry of biological tissues such as fish otoliths at the Institute of Ocean Sciences (IOS) for the Department of Fisheries and Oceans (DFO) in Sidney, BC. She has an MSc from the University of Victoria in Developmental Biology and Embryology. Nicole has extensive experience in the preparation and analysis of samples by Laser Ablation Inductively Coupled Plasma Mass Spectrometry (LA-ICP-MS) and joined DFO in 2023 to develop the use of this powerful analytical technique in-house for the Pacific Salmon Strategy Initiative and beyond. The mass spectrometry laboratory at IOS has the only instrumentation capable of generating this type of high-resolution time-resolved biological data within DFO.

Micah Quindazzi is a PhD Candidate who uses microchemistry to study the migrations of Chinook and Coho salmon at IOS in Sidney, BC. Micah has comprehensive experience in the study of all topics related to the otoliths of salmonids. He has been involved in PSSI since 2021 to study the estuary entry size and marine migrations of WCVI Chinook salmon. He has worked with Nicole to develop techniques for the study of salmonid otoliths using LA-ICP-MS. He is also working on ECVI and Fraser River systems using similar techniques.",Follow the Fish,DFO,DFO,"Microchemistry of fish otoliths (calcium carbonate ear crystals) is a very useful tool for tracking habitat usage. IOS currently has the only instrumentation and expertise within DFO to carry out this type of analysis. During this project we developed a method for relating the size (fork lengths) of juvenile WCVI Chinook Salmon at estuary entry to their otolith radii, and using it to back-calculate the estuary fork lengths of returning adult spawners using Laser Ablation Inductively Coupled Plasma Mass Spectrometry (LA-ICP-MS) for PSSI priority river systems including Sarita, Robertson/Stamp and Nitinat from 2015-2023. We found that, generally, there are two types of natural origin (NO) outmigrants: those that leave the river early at small fork lengths, and those that use the river for longer and thus leave later and at larger fork lengths. In the Sarita River, these life history types emerge as Early Small NO smolts that leave the river under 50 mm between February to April, and Late Large NO smolts that leave the river above 50 mm after April. These Late Large NO smolts can survive up to 20X better than the Early Small smolts, 40% better than the hatchery origin smolts and comprise a much larger proportion of the returning spawners than would be expected considering that they represent around 5% of the outmigrants in the Sarita River system. While Late Large NO smolts survived better, the Early Small NO smolts comprised over 80% of the oldest Chinook salmon in the system. Otolith microchemistry provides a cost-effective means of gleaning information on the life histories of salmonids that can enhance our understanding and inform population rebuilding strategies, and demonstrates that NO Chinook Salmon provide significant phenotypic diversity, which would not be possible to replicate with hatchery production alone and provide a buffer against population extinction events. We conclude that there are significant carry-over effects from freshwater to the marine environment affecting WCVI Chinook entry timing and size, which may also correlate to their health.",Yes,10:15 AM,00:23:30,"LGL Ltd., Huu-ay-aht First Nation",NA
2424,NA,Sean Naman,NA,Freshwater Stressors,DFO,DFO,NA,Yes,1:30 PM,02:03:00,NA,NA
2425,NA,Keegan Paterson,NA,Freshwater Stressors,DFO,DFO,NA,Yes,2:15 PM,02:57:30,NA,NA
2432,NA,Stephane Gauthier,NA,Follow the Fish,DFO,DFO,NA,No,NA,,NA,NA
2434,Rapid broodstock screening for improved genetic management of Pacific Salmon,Kyle Wellband,NA,Hatchery Fitness and Genetics,DFO,DFO,NA,Yes,01:19:46,01:19:46,NA,NA
2435,Epigenetic variation and inheritance in hatchery- and natural-origin Chinook and Coho salmon,"Tim Healy, Kyle Wellband",NA,Hatchery Fitness and Genetics,DFO,DFO,NA,Yes,00:31:08,00:31:08,NA,NA
2437,NA,Tim Healy,NA,Salmon In A Changing Climate,DFO,DFO,NA,Yes,11:00 AM,00:14:10,NA,NA
2442,Habitat use and predation on juvenile Chinook Salmon in the Canadian Okanagan River and Lake system,Tommy Pontbriand,NA,Freshwater Stressors,DFO,DFO,NA,Yes,2:45 PM,00:31:08,NA,NA
2443,NA,Daniel Doutaz,NA,Freshwater Stressors,DFO,DFO,NA,No,NA,01:35:31,NA,NA
2444,Assessment of the distribution and abundance of juvenile Chinook salmon in the lower Thompson River basin,Colin Bailey,NA,Freshwater Stressors,DFO,DFO,NA,No,,00:47:16,,
2447,Innovative Ecosystem Based Approaches to identify cumulative stressors: Salmon Fit-Chips and eDNA ,"Arthur Bass, Christoph Deeg",NA,Follow the Fish,DFO,DFO,NA,Yes,10:45 AM,01:04:15,NA,NA
2448,"Developing a proactive, modernized, holistic approach to ensure optimal health and condition of Hatchery Production ",Karia Kaukinen,NA,Fish Health,DFO,DFO,NA,Yes,,03:23:45,NA,NA
2402,NA,"Brendan Connors, Adam O'Dell",NA,Fisheries Monitoring and Harvest Methods,DFO,DFO,NA,Yes,10:45 AM,00:44:15,NA,NA
2451,Fitness effects of hatchery enhancement and relative reproductive success,Tim Healy,NA,Hatchery Fitness and Genetics,DFO,DFO,NA,Yes,00:14:10,00:14:10,NA,NA
2453,Epigenetic variation and inheritance in hatchery- and natural-origin Chinook and Coho salmon,"Tim Healy, Kyle Wellband",NA,Hatchery Fitness and Genetics,DFO,DFO,NA,Yes,00:31:08,00:31:08,NA,NA
2493,NA,"David Patterson, Douglas Braun",NA,Freshwater Stressors,DFO,DFO,NA,Yes,2:00 PM,02:40:00,NA,NA
2513,Characterizing and monitoring priority contaminants of concern in WCVI juvenile salmon,Lisa Loseto,NA,Marine Stressors,DFO,DFO,NA,Yes,2:00 PM,03:28:15,NA,NA
2539,NA,"Di Wan, James Christian",NA,Salmon In A Changing Climate,DFO,DFO,NA,No,NA,,NA,NA
BCSRIF_2019_058,Mortality of released Pacific Salmon in the marine recreational fishery: new science and recommendations,Steve Johnston,"Stephen Johnston, PhD Candidate and Wall Legacy Fellow, Pacific Salmon Ecology and Conservation Laboratory, UBC",Fisheries Monitoring and Harvest Methods,"Pacific Salmon Ecology and Conservation Laboratory, UBC",BCSRIF,"Catch-and-release (CR) practices are a key component of fisheries management and have the potential to be increasingly used in future management scenarios. However, mortality associated with CR may be highly variable and influenced by environmental, physiological, and handling-related factors associated with marine recreational fisheries. Post-release mortality estimates used in management frameworks are based on studies that lacked the temporal and spatial scope necessary to define these rates. Our seven-year project has combined both telemetry tracking and holding study components to develop a wholesome understanding of the post-release experience of Chinook and coho salmon, and the factors that influence both short- and long-term mortality. Using acoustic telemetry, we tracked more than 1,800 Chinook and coho salmon captured and released by anglers along the BC coast to quantify post-release mortality. Additionally, we captured 730 Chinook and coho salmon and monitored their survival in land-based holding tanks for a minimum of 10 days to observe more specific mechanisms of mortality. We found that injury type and handling methods were key predictors of mortality, with blood loss, scale loss, and fin damage having more immediate effects, while eye injuries were more likely to drive latent mortality responses. Overall, Chinook salmon were more resilient to fishery interactions, and coho salmon were more susceptible to injuries related to fishery handling. We have produced 15 best-practice recommendations for anglers participating in marine recreational fisheries where one can expect to be required to release non-target individuals.",Yes,11:00 AM,01:01:06,"Sport Fishing Institute of British Columbia, Bamfield Marine Science Centre, Ocean Tracking Network, Pacific Salmon Foundation, Kintama Research, Gillard Pass Fisheries Society",NA
3103,NA,"Eric Rondeau, Timothy Healy, Kyle Wellband",NA,Hatchery Fitness and Genetics,DFO,DFO,NA,No,,,NA,NA
3119,NA,"Eric Rondeau, Timothy Healy, Kyle Wellband",NA,Hatchery Fitness and Genetics,DFO,DFO,NA,No,,,NA,NA
3120,NA,"Eric Rondeau, Timothy Healy, Kyle Wellband",NA,Hatchery Fitness and Genetics,DFO,DFO,NA,No,,,NA,NA
3121,NA,"Eric Rondeau, Timothy Healy, Kyle Wellband",NA,Hatchery Fitness and Genetics,DFO,DFO,NA,No,,,NA,NA
BCSRIF_2019_040,"An overview of the Bottlenecks to Survival program with a focus on marine monitoring, tagging, and biological sampling","Sam James, Jamieson Atkinson ",NA,Marine Stressors,Pacific Salmon Foundation,BCSRIF,"This work will utilize and refine Passive Integrated Transponder (PIT) tag architecture (data collection application, tagging methods, capture methods, and PIT antennas and arrays) developed through the ongoing BCSRIF-funded “Bottlenecks Program” to track individual fish and provide new insights into survival in the South Coast. The survival of wild and enhanced Chinook and coho salmon will be compared within and between river systems and enhancement strategies (e.g. standard versus late release, smolt versus fed-fry), with tags applied and detected across multiple life history stages to identify periods of higher mortality (“bottlenecks”). Tag detections will also produce run-timing curves, straying rates, and terminal mortality rates. Focused activities will investigate size at ocean entry and migration patterns in the marine environment, information necessary to refine PIT-tag based survival models and understand life-history diversity. PIT tag-based stage-specific survival estimates will compliment studies of potential mediators of survival bottlenecks; environmental and anthropogenic influences on freshwater emigration, starvation in the first winter at sea, fishing-related incidental mortality (FRIM), and in-river pinniped predation. Collectively this work will greatly expand the understanding of factors limiting Chinook and coho salmon survival, suggest strategies to increase productivity, and leave a legacy of refined assessment approaches.",Yes,1:00 PM,02:22:15,NA,NA
BCSRIF_2022_347,NA,Derek Leboeuf,NA,Fisheries Monitoring and Harvest Methods,A-Tlegay Fisheries Society,BCSRIF,NA,No,NA,,NA,NA
BCSRIF_2020_292,NA,Megan Adams,NA,Fisheries Monitoring and Harvest Methods,Central Coast Indigenous Resource Alliance,BCSRIF,NA,Yes,11:30 AM,01:31:21,"Kyle Wilson (Simon Fraser University), Will Atlas (Wild Salmon Centre)",NA
BCSRIF_2019_136,Investigation into molecular tools and how they could be applied in hatchery management,Samantha James,NA,Fish Health,Pacific Salmon Foundation,BCSRIF,"The Pacific Salmon Foundation conducted a science-based review of hatcheries in the BC to evaluate performance and effectiveness. As part of that review, four ‘omics’ technologies were evaluated for their utility in hatchery management and salmonid production: genomics, transcriptomics, proteomics, and metabolomics. The review provided technical details on the use of the various tools with examples of their relevance to hatchery deliverables and was accompanies by a user-focused manual to highlight genomic applications for present day hatchery operations. A summary of their findings and recommendations will be provided.",Yes,,02:32:35,NA,NA
BCSRIF_2020_217,NA,Jordan Rosenfeld,NA,Freshwater Stressors,"University of British Columbia (Vancouver), Institute for the Oceans and Fisheries",BCSRIF,NA,Yes,1:45 PM,02:21:30,NA,NA
BCSRIF_2020_239,NA,Leigh Gaffney,NA,Hatchery Fitness and Genetics,"University of Victoria, Department of Biology",BCSRIF,"Differences have recently been observed between the sagittal otoliths of hatchery-reared and wild-origin salmon. Sagittal otoliths are essential sensory structures that enable fish to hear and maintain balance. Normally composed of aragonite, a calcium carbonate polymorph, otoliths sometimes contain inclusions of vaterite—an abnormal polymorph. While vateritic otoliths occur in less than 10% of wild-origin salmon, they are extremely common in hatchery fish, affecting 60–80% of individuals. Vaterite deposition impairs otolith function and hearing, potentially compromising marine survival and the effectiveness of hatchery restoration programs. Despite long-standing recognition of vateritic otoliths, the causes of their formation remain poorly understood. Our research investigates which hatchery-rearing conditions promote vateritic otolith formation in juvenile coho salmon and examines the consequences of these deformities for survival. This work has important implications for fish welfare and the success of salmonid hatcheries.",Yes,01:35:31,01:35:31,NA,"Leigh Gaffney, Micah Quindazzi, Emma Polard, Lydia Walton, Chloe Kraemer, Zoe Mulder, Will Duguid, Francis Juanes"
3498,NA,"Phil Lemp, Erin Rechisky",NA,Fisheries Monitoring and Harvest Methods,DFO,DFO,NA,Yes,11:15 AM,00:47:16,NA,NA
2546,"Same Salmon, Shared Semantics. The DFO Salmon Ontology for Data Integration and Decision Support",Brett Johnson,NA,Data and Modelling to Support Decision-Making,DFO,DFO,"Salmon decisions stall on semantics, not on science. Take “wild salmon”: locally it can mean natural-origin fish, fish spawning naturally this year (including hatchery-origin spawners), or simply adipose-intact fish—definitions that change counts and benchmarks and challenge regional analyses. This fragmentation slows management, obscures accountability, and undermines confidence in otherwise excellent science. What’s needed is a shared vocabulary and an agreed-upon map of salmon terms—clear definitions and relationships that connect local labels to common meanings so people and software interpret data the same: a shared dictionary and rulebook for salmon data, an ontology. The DFO Salmon Ontology provides that map of how terms relate, and the controlled vocabularies that underpin it supply precise definitions—showing where terms differ, how they align, and where they should converge. Together, they standardize key terms across programs and regions. Teams can map local terms once, keep source systems unchanged yet aligned regionally, and link inputs to methods, benchmarks, and policy thresholds for Fisheries Science Reports, the Fish Stock Provisions, and the Wild Salmon Policy. Developed by the Fishery & Assessment Data Section in the Pacific Region Science Branch, this work builds on the International Year of the Salmon Data Mobilization initiative and collaborations with the National Center for Ecological Analysis and Synthesis (U.S.) and the global Research Data Alliance. It is open source and implements community standards from the W3C, OBO Foundry, and Darwin Core. By removing terminology friction, it prepares us for AI-assisted data integration and cross-discipline interoperability while immediately letting biologists spend less time cleaning data. Our goal is straightforward: to provide persistent, web-accessible definitions that help scientists and software combine data efficiently, support reproducible analyses, and strengthen confidence in salmon management.",Yes,1:10 PM,01:04:15,"Melissa Morrison, Tom Bird, Minh Doan",NA
BCSRIF_2020_311,NA,Ahmed Siah,NA,Fish Health,BC Centre for Aquatic Health Sciences Society,BCSRIF,NA,Yes,,03:53:42,NA,NA
BCSRIF_2022_332,NA,Christine Gruman,NA,Follow the Fish,,BCSRIF,NA,No,NA,,NA,NA
BCSRIF_2022_334,NA,Dave Scott,NA,Freshwater Stressors,Salish Sea Indigenous Guardians Association,BCSRIF,NA,Yes,1:15 PM,01:48:15,NA,NA
BCSRIF_2022_337,NA,Timothy Sobey,NA,Follow the Fish,,BCSRIF,NA,No,NA,,NA,NA
BCSRIF_2022_456,The Bottlenecks to Survival Project: An open-source framework for end-to-end biological data management,"Sam James, Brahm White-Gluz",NA,Data and Modelling to Support Decision-Making,Pacific Salmon Foundation,BCSRIF,"Using modern software engineering practices and open-source software, we have developed a robust information system for managing the research data collected by the Bottlenecks to Survival Project, a large-scale PIT tagging initiative led by the Pacific Salmon Foundation and British Columbia Conservation Foundation. Any end-to-end data system must cover the full lifecycle of the data from collection to storage and dissemination. Though state-of-the-art, open-source database technologies, we have created such a system that brings in data using the Open Data Kit, processes and stores the data using Postgres, with data consumed through dashboards and visualization on Apache Superset. This design and implementation of the data system addresses many key issues surrounding data management for large, multi-year research projects and will support reproducible research and a high level of data integrity moving forward.",Yes,1:25 PM,02:28:04,NA,NA
BCSRIF_2022_358,NA,NA,NA,Marine Stressors,,BCSRIF,NA,No,NA,,NA,NA
BCSRIF_2022_384,NA,Markus Schnorbus,NA,Salmon In A Changing Climate,Pacific Climate Impacts Consortium,BCSRIF,"The Pacific Climate Impacts Consortium (University of Victoria) is expanding upon recent work (BCSRIF_2019_074_2) by providing results on the impact of climate change on the freshwater environment at a resolution sufficient to represent individual stream reaches and lakes. This project will deliver highly detailed streamflow and water quality data, which will allow quantification of the magnitude of expected changes in freshwater hazards in support of site-specific (e.g., spawning grounds, and stream or lake rearing habitat) climate change vulnerability, habitat, and stock assessments. Changes in the freshwater environment could include increasingly extreme flow levels (low and high), high water temperatures, and hypoxia (low dissolved oxygen), which all pose as potential hazards to salmon survival across various life stages. The study is being conducted for most of the drainage areas within BC that host wild salmon stocks. This project will involve two main activities: Hydrologic Modelling and Data Portal deployment.",Yes,10:15 AM,01:23:00,NA,NA
BCSRIF_2022_399,"Evaluating climate change scenarios for the Quesnel Watershed to determine flood, fire and temperature risks posed to Upper Fraser salmon stocks",Ellen Petticrew,NA,Salmon In A Changing Climate,"University of Northern British Columbia, Department of Geography, Earth and Environmental Sciences and UNBC’s Quesnel River Research Centre",BCSRIF,"This project will focus on understanding the effects of climate change on salmon ecosystems and the direct effects of increasing water temperatures and wildfire-contaminated spawning habitat on interior Pacific salmon early life stages. Improvements to hatchery infrastructure will aid Chinook enhancement and conservation efforts with collaborators at DFO and Upper Fraser Fisheries Conservation Alliance. Construction of a center of excellence will provide classroom/outreach space to provide First Nations training and community outreach, while specialized laboratory facilities will increase collaboration and salmon ecosystem research. This project will build educational and research capacity, improve Chinook salmon culture and deliver to the adjustment of management protocols for existing Pacific salmon stocks in these areas and to the development of mitigations to address climate change.",Yes,10:45 AM,00:23:40,NA,NA
BCSRIF_2022_401,Supporting Climate-Resilient Salmon Ecosystems: from Modelling to Monitoring,"Marc Porter, Kathleen Belton, Stephanie Peacock",NA,Salmon In A Changing Climate,"Salmon Watersheds Program, Pacific Salmon Foundation",BCSRIF,"For over 15 years, the Pacific Salmon Foundation’s Salmon Watersheds Program (SWP) has worked to democratize salmon-related data and support community-led efforts in salmon recovery. Through two BC SRIF projects, the SWP has expanded their work to focus on the impacts of climate change on salmon and their freshwater habitats. The first project included modelling the climate change exposure of Pacific salmon Conservation Units in the Fraser River basin to understand their relative exposure to projected climate changes throughout their lifecycles. The results can be used alongside assessments of biological status and habitat degradation to strategically prioritize actions for salmon resilience. The second project was more tactical, working with numerous First Nations and other partners to implement community-led monitoring of stream temperature and flow and support the harmonization of approaches and datasets across organizations. Together, these projects shed light on how climate change impacts salmon watersheds today and into the future and provided opportunities for integration and collaboration across groups.",Yes,11:15 AM,00:54:20,NA,NA
BCSRIF_2020_279,Democratizing Salmon Data through the Expansion of the Pacific Salmon Explorer,Leah Honka and Eric Hertz ,NA,Data and Modelling to Support Decision-Making,Pacific Salmon Foundation,BCSRIF,"For over a decade, the Pacific Salmon Foundation’s Salmon Watersheds Program (SWP) has worked to democratize salmon data. Through support from BCSRIF, and additional funding sources, the SWP has expanded the Pacific Salmon Explorer – an online data visualization tool for Pacific salmon and their freshwater habitats – to all salmon-bearing regions in British Columbia and the Yukon. The SWP team has engaged with First Nations organizations, government scientists, and independent experts to compile and analyse data on salmon abundance, catch, productivity, and broad-scale habitat pressures to inform standardized assessments of biological status and habitat threats for Pacific salmon Conservation Units. By making data and assessments readily accessible, the SWP has supported numerous organizations, including COSEWIC, Ocean Wise, and the Central Coast Indigenous Resource Alliance, in decision-making for salmon conservation, management, and recovery.",Yes,1:40 PM,02:45:31,NA,NA
BCSRIF_2022_442,NA,Mack Bartlett,NA,Follow the Fish,Uvic,BCSRIF,NA,Yes,11:15 AM,01:42:00,NA,NA
BCSRIF_2022_449,Cumulative effects of forest harvest on Pacific salmon productivity in coastal British Columbia,Maria Kuruvilla,"Maria Kuruvilla is a postdoctoral fellow in the Lewis Research Group, University of Victoria. She uses Bayesian statistical models to estimate the impact of forest harvesting on salmon population in coastal BC. Her work occasionally takes her to Salmon Coast Field Station, in the Broughton Archipelago. Maria completed her PhD in Quantitative Ecology and Resource Management at the University of Washington, Seattle. Her dissertation explored the effects of hatchery releases on salmon migration timing, providing evidence that juvenile salmon use social information to decide when to migrate. Additionally, she investigated various environmental factors influencing the migration timing of juvenile salmon.",Freshwater Stressors,University of Victoria,BCSRIF,"Industrial forest harvesting has altered the functioning of watersheds and aquatic habitats that support wild Pacific salmon for over a century, yet the population-level effects of forestry on salmon and the timescale for recovery remain uncertain. We reconstructed an annual time series of forest disturbance history for 1,746 watersheds with salmon population monitoring data in coastal British Columbia (BC) dating back to 1883, when forestry accelerated in the region, with cumulative disturbance to many watersheds today now exceeding 80%. A strong negative effect of forestry on chum salmon recruits per spawner was observed with productivity declines of 19-52% which exceed that predicted by changes to marine conditions for many populations. Forestry can cause shifts in watershed functioning that can last for decades leading to salmon population declines and long timescales for recovery.",Yes,2:30 PM,03:17:05,"Salmon Coast Field Station, Musgamagw Dzawada’enuxw Fisheries Group Society, DFO, University of Toronto, Ecofish Research, University of Alberta, BC Ministry of Water, and Pacific Salmon Foundation","Hocking, M.D., M. Kuruvilla, J. Braga, E.M. Atkinson, D. Greenberg, L. Krichel, O. Cornies, A. Buren, J. Speier, M. Nicolson, P. Tschaplinski, B. Connors, M. Lewis, A. Bateman, F.J.A. Lewis, R.M. Hechler, and M. Krkosek"
2449,NA,Carrie Holt,NA,Data and Modelling to Support Decision-Making,DFO,DFO,NA,Yes,1:55 PM,03:00:49,NA,NA
BCSRIF_2022_415,Prioritizing barriers for restoring Pacific Salmon habitat connectivity,Nick Mazany-Wright,NA,Data and Modelling to Support Decision-Making,Canadian Wildlife Federation,BCSRIF,NA,Yes,2:10 PM,03:17:45,NA,NA
2410,NA,Thomas Therriault,NA,Data and Modelling to Support Decision-Making,DFO,DFO,NA,Yes,2:25 PM,03:31:41,NA,NA
2545,Ten years of hatchery broodstock genotyping and parentage-based tagging,Eric Rondeau,NA,Hatchery Fitness and Genetics,DFO,DFO,NA,Yes,00:47:16,00:47:16,NA,NA
2436,Increasing genetic resolution in southern BC chum enabled by whole genome data,Anna Tigano,NA,Hatchery Fitness and Genetics,DFO,DFO,NA,Yes,01:04:15,01:04:15,NA,NA
