Project Number,Project Name,Phase,Recipient,Type of Organization (Account) (Account),Geographic Distribution,Location of project,Program Pillar,Agreement Start Date,Agreement End Date,Description Short,List of Partners or Collaborators,Species Group
BCSRIF_2019_045,Empowering Indigenous community fisheries with deep learning - computer vision for adaptive management of terminal salmon fisheries,1,Pacific Salmon Foundation,Not-for-profit organization (ENGO),Central Coast and the North,Bella Bella,Innovation,5/1/2020,3/31/2023,This project will integrate traditional and modern technologies through the development of new computer vision deep-learning programs to automate salmon counting and species identification from video and sonar data. Connecting these tools with community-run escapement monitoring programs around the North and Central Coast will support the transition towards real-time data integration and in-season monitoring to inform the adaptive management of salmon fisheries.,"Tula Foundation 
Haida Fisheries 
Simon Fraser University
Fisheries and Oceans Canada 
Pacific Salmon Foundation Salmon Watersheds Program
Pacific Salmon Foundation Salmon Watersheds Program
Heiltsuk Integrated Resource Management Department
Kitasoo Xai'xais Stewardship Authority",Pacific Salmon
BCSRIF_2019_058,Enhancing Sustainability of capture & release marine recreational Pacific salmon fisheries using new tools/technology,1,"University of British Columbia (Vancouver), Department of Forest and Conservation Sciences",Post-Secondary Institution,BC Wide and Coastal Waters,Pacific Ocean,Science partnerships,7/29/2019,3/31/2024,The University of British Columbia will lead a science partnership project to conduct research on improving the sustainability of capture and release marine recreational Pacific salmon fisheries using new tools and technology.,"Dr. Steve Cooke (Carleton University);
Ocean Tracking Network Canada",Pacific Salmon
BCSRIF_2019_061,Improving Sustainability of British Columbia's Commercial Spot Prawn Fishery and Prawn Stocks,1,Pacific Prawn Fishermen's Association,Industry Association,South Coast,"Nanaimo, Burnaby",Science partnerships,6/1/2020,3/31/2022,The Pacific Prawn Fishermens Association will develop a robust management procedure to improve the sustainability of the BC Spot Prawn fishery. Funding will allow for the evaluation of expected outcomes of fishing impacts to wild prawn stocks under alternative fishing practices and provide an opportunity for valuable stock assessment research and management training for harvesters First Nations and others.,"Simon Fraser University
",Pacific Shellfish
BCSRIF_2019_067,Elephant Hill Fire Riparian Restoration Project,1,Secwepemcul’ecw Restoration & Stewardship Society,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Elephant Hill Area (Ashcroft/Cache Creek) ,Infrastructure,7/15/2019,3/31/2024,The Secwepemcul'ecw Restoration and Stewardship Society in partnership with Secwepemc communities and the 100 Mile Natural Resource District will undertake restoration of critical habitat affected by the 2017 Elephant Hill Wildfire in the traditional territories of the 8 Secwepemcul'ecw Nations.,"Maggie Branton
University of British Columbia
Secwepemcul’ecw Restoration & Stewardship Society",Pacific Salmon
BCSRIF_2019_071,Plateau Fire Recovery – Riparian Plant Collection and Planting for Restoration of Chinook and Coho Salmon Habitat in the Nazko Area,1,Baker Creek Enhancement Society,Stewardship Group (local/community-based),Fraser and Interior,Nazko Area – West of Quesnel ,Infrastructure,8/15/2019,3/31/2024,The Baker Creek Enhancement Society will collaborate with the Nazko First Nation to undertake restoration of critical habitat affected by the Plateau Fire. This work will also prevent further habitat degradation from normal precipitation and predictable storm events.,"Pacific Salmon Foundation
Baker Creek Enhancement Society
Nazko First Nation
Quesnel River Environmental Restoration
Planning Team
Sitka Foundation
Private Donations",Pacific Salmon
BCSRIF_2019_074,Place-based Risk of Climate Change to Sustainability of BC Wild and Hatchery-origin Salmon,1,Pacific Climate Impacts Consortium,Research and Innovation Institution/Academic,BC Wide and Coastal Waters,BC Wide,Science partnerships,9/1/2019,3/31/2024,The Pacific Climate Impacts Consortium will conduct research to improve our understanding of potential threats posed to Pacific salmonids and their habitats posed by climate change and develop risk assessment tools to support adaptive regional management approaches.,"DFO (PBS), University of Northern British Columbia, Environment and Climate Change Canada, University of Waterloo",Pacific Salmon
BCSRIF_2019_080,Upper Fraser Chinook Strategic Enhancement Project,1,Spruce City Wildlife Association,Stewardship Group (local/community-based),Fraser and Interior,Middle and Upper Fraser Watershed (Prince George),Infrastructure,7/10/2019,3/31/2021,"Funding will support infrastructure upgrades to the to the Spruce City Wildlife Association's conservation hatchery to improve biosecurity and enhance production at the facility to support the restoration and rebuilding of Upper and Middle Fraser chinook stocks. Activities include the acquisition and installation of larger troughs, a custom recirculation system with UV sterilization particulate and biological filtration water chilling with aeration pump and backup power generator. This project will also support the collection of critical natal stream information to inform rearing and stocking practices.","Pacific Salmon Foundation
Enbridge Inc.
Carrier Sekani Tribal Council
Integris Credit Union
Upper Fraser Fisheries Conservation Alliance
Rio Tinto Alcan

",Pacific Salmon
BCSRIF_2019_081,Inkaneep Creek Restoration,1,Osoyoos Indian Band,"Indigenous Organization (non-commercial, including First Nations governments)",Columbia and Kootenays,Oliver,Infrastructure,4/1/2020,3/31/2023,This project will support post-mudslide restoration and effectiveness monitoring for Inkaneep Creek and the floodplain. Restoration work will improve the survivability of Okanagan steelhead rainbow trout and chinook salmon and apply an innovative combination of traditional knowledge and science towards sustainable fisheries co-management.,"Okanagan Sub-basin Habitat Improvement Program (OSHIP)
Okanagan Nation Alliance (ONA)
Habitat Conservation Trust fund
Priest Rapids Conservation Committee
TD Canada Trust – Friends of the Environment Fund
Pacific Salmon Foundation (PSF) -  Community Salmon Program
Okanagan Basin Monitoring and Evaluation Program (OBMEP) via the Colville Confederated Tribes",Pacific Salmon
BCSRIF_2019_083,Optimizing Recirculating Aquaculture Systems for Sustainable Salmon Production,1,"University of British Columbia (Vancouver), Department of Zoology",Post-Secondary Institution,BC Wide and Coastal Waters,Vancouver,Innovation,7/1/2020,3/31/2024,This study aims to provide a BC-based solution for growing larger more physiologically robust Atlantic salmon smolts in freshwater recirculating aquaculture systems (RAS). This project will help to improve both the sustainability and productivity of the BC aquaculture industry by increasing the amount of time farmed salmon are reared in land-based RAS and reducing the amount of time farmed Atlantic salmon spend in marine net-pens.,"MOWI Canada West
University of British Columbia",Pacific Salmon
BCSRIF_2019_092,Drivers of Inter-annual variability in Zooplankton Feeding in the Strait of Georgia: A combined model-observation approach,1,"University of British Columbia (Vancouver), Department of Earth, Ocean and Atmospheric Sciences",Post-Secondary Institution,South Coast,Vancouver,Science partnerships,7/1/2020,3/31/2023,The University of British Columbia will conduct research to improve understanding of the changing ecosystem facing out-migrating juvenile salmon in the Strait of Georgia. Activities include quantifying key rivers of zooplankton (small animals that feed on ocean plants) feeding and to explore how zooplankton abundance and distribution are affected by environmental conditions.,"DFO Institute of Ocean Sciences, Compute Canada, Information and Communications Digital Council - WIL Digital Program, University of Washington",Pacific Salmon
BCSRIF_2019_100,Seymour Watershed Restoration Project,1,Seymour Salmonid Society,Stewardship Group (local/community-based),South Coast,North Vancouver,Infrastructure,1/15/2020,3/31/2024,This multi-year watershed-wide initiative combines rockslide mitigation work to enable upstream fish passage along with physical habitat enhancement and restoration works to improve the habitat quality and functionality within the watershed. The recipient will also conduct monitoring to confirm the success of the project in establishing fish passage and providing restored and enhanced habitat for wild Pacific salmonid stocks for future generations.,"Greater Vancouver Water District (GVWD), Habitat Conservation Trust Foundation (HVTF), Pacific Salmon Foundation, DNV Firefighters Charitable Society, Neptune Terminals, BC Gaming",Pacific Salmon
BCSRIF_2019_104,Upper Adams Salmon Restoration Program,1,Adams Lake Indian Band,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Upper Adams Watershed,Science partnerships,4/1/2020,3/31/2024,Funding will support restoration of the Upper Adams early summer run sockeye to a sustainable level and improve opportunities for sustainable use. Nutrients will be applied to Adams Lake rearing habitat to restore historical lake productivity and improve marine survival and future returns of early summer run sockeye.,"Ministry of Environment and Climate Change
Secwepemc Fisheries Commission
Okanagan Nation Alliance ",Pacific Salmon
BCSRIF_2019_107,Broughton wild salmon restoration project,1,'Namgis First Nation,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Broughton,Innovation,9/1/2019,3/31/2024,"The ‘Namgis, Kwikwasut'inuxw Haxwa'mis and Mamalilikulla First Nations will partner on activities to assess prioritize and restore critical salmon habitat in the Nimpkish and Kokish Rivers flowing from Bond Sound, Thompson Sound, Wakemen Sound, Viner Sound, and Rivers Near Hoyea Sound and Lull Creek.",n/a,Pacific Salmon
BCSRIF_2019_108,Independent BC First Nations Genomics Lab Project - Phase 1,1,'Namgis First Nation,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Broughton,Infrastructure,7/15/2019,10/4/2019,"The ‘Namgis, Kwikwasut'inuxw Haxwa'mis and Mamalilikulla First Nations will partner on activities to assess prioritize and restore critical salmon habitat in the Nimpkish and Kokish Rivers flowing from Bond Sound, Thompson Sound, Wakemen Sound, Viner Sound, and Rivers Near Hoyea Sound and Lull Creek.","Fisheries and Oceans Canada (Pacific Biological Station Lab – Pacific Region)
Okanagan Nation Alliance (kł cp̓əlk̓ stim̓ Laboratory)",Pacific Salmon
BCSRIF_2019_108B,Phase 2: Independent First Nations' Genomic Lab for BC,1,'Namgis First Nation,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Broughton,Infrastructure,11/1/2019,3/31/2024,Funding will support the establishments of an Independent BC First Nations Genomics Laboratory. Project partners will equip the kł cp̓əlk̓ stim̓ laboratory with Fluidigm BioMark™ technology to analyze samples collected through the Indigenous Monitoring and Inspection Plan (IMIP) as well as providing services to other First Nations in British Columbia with an interest in conducting independent fish health sampling.,"Okanagan Nation Alliance
Broughton Aquaculture Transition Initiative ",Pacific Salmon
BCSRIF_2019_109,Implementation of the Broughton First Nations Indigenous Monitoring and Inspection Plan,1,'Namgis First Nation,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Broughton,Infrastructure,5/24/2019,3/31/2024,"The ‘Namgis, Kwikwasut'inuxw Haxwa'mis and Mamalilikulla First Nations will implement the Broughton First Nations Indigenous monitoring and inspection plan  using BCSRIF support to build monitoring and oversight capacity over finfish farms in the Broughton capacity to monitor wild salmon other marine species (and their ecosystems) and to conduct salmon habitat restoration activities.",Province of British Columbia ,Pacific Salmon
BCSRIF_2019_112,Percy Walkus Hatchery Upgrade,1,Pacific Salmon Foundation,Not-for-profit organization (ENGO),Central Coast and the North,Rivers Inlet (Central Coast),Infrastructure,2/1/2020,3/31/2021,Funding will support upgrades to the Percy Walkus Hatchery in Rivers Inlet which provides local capacity to enhance three local chinook salmon stocks of significant cultural and economic significance. The upgrades to the hatchery will improve the site efficiency increase the flexibility of rearing options and reduce the carbon footprint of facility operations.,"Fisheries and Oceans Canada (Salmonid Enhancement Program)
Pacific Salmon Foundation
Wuikinuxv First Nation
",Pacific Salmon
BCSRIF_2019_113,Assessment of forage fish populations and their habitats to support enhanced conservation of chinook salmon,1,Comox Valley Project Watershed Society ,Stewardship Group (local/community-based),South Coast,Salish Sea,Science partnerships,8/19/2019,3/31/2022,The Comox Valley Project Watershed Society with the K ómoks First Nation North Island College and other partners will apply and test tools for identifying mapping and quantifying important forage fish populations and their habitats. This work will contribute to the conservation of important food sources for Pacific salmon including chinook and coho.,"Pacific Salmon Foundation
Commox Valley Regional District
",Pelagics
BCSRIF_2019_118,Chilliwack Coho PIT Tag Escapement Project,1,Lower Fraser Fisheries Alliance Society,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Vedder Canal/Chilliwack River,Innovation,4/1/2020,3/31/2024,Funding will contribute to an improved understanding of stock status and trends through the development and demonstration of PIT tag mark-recapture techniques for hatchery coho salmon in the Chilliwack River using large PIT arrays to enumerate annual hatchery returning fish during spawning migration. The infrastructure developed for this project will be used to inform future work on stock level PIT tagging enumeration studies of Fraser salmon.,Southern Endowment Fund,Pacific Salmon
BCSRIF_2019_124,Resilient Waters Project: Phase 1,1,MakeWay Charitable Society,Not-for-profit organization (ENGO),Fraser and Interior,Fraser River,Infrastructure,9/1/2019,3/31/2022,Tides Canada and the Watershed Watch Society along with other partners will implement a project to identify priority sites requiring infrastructure upgrades and habitat restoration across the Lower Fraser River watershed which will support the reintegration of vital wild salmon habitat.,"WWSS
KWL
Pearson
PSF
REFBC
FWCP
Leqamel
Tswawwassen
Delta
Kwikwetlem
Metro Van
UBC
SFU
DFO (Murray)
Cheam
BC Parks
City of Chilliwack",Pacific Salmon
BCSRIF_2019_125,Millstream Fishway Project,1,Peninsula Streams Society,Stewardship Group (local/community-based),South Coast,Saanich,Infrastructure,8/6/2019,3/31/2022,This urban habitat restoration project will improve fish passage in Millstream Creek by creating a fishway that will allow fish to move up to and through a large culvert under Atkins Road near Mill Hill Regional park. This will aid fish passage and allow resident trout and spawning adult coho salmon access to over eight kilometers of habitat upstream.,"Province of B.C. Gaming Capital Project Grant
Pacific Salmon Foundation
City of Langford
Town of View Royal
Jim Hartshorne (Keycorp)
Trotac Marine Supply Store
Ralmax Group Holdings Ltd.
Bear Mountain Resort
Market on Millstream
A.R. Gardner & Associates Ltd.
Victoria Fish & Game Protective Association
Esquimalt Anglers
Goldstream Volunteer Salmonid Enhancement Association
Victoria Golden Rods and Reels
District of Highlands
Rotary Club of West Shore
Miscellaneous donations and in-kind
Peninsula Streams Society
",Pacific Salmon
BCSRIF_2019_129,Partnership for a novel framework for assessing and managing Pacific Herring fisheries on the West Coast of Vancouver Island,1,Nuu-chah-nulth Tribal Council,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Port Alberni,Innovation,6/1/2020,3/31/2024,The recipient and partners will undertake an evaluation of spatial and in-season management options for associated food social and ceremonial (FSC) and commercial Herring fisheries to ensure the sustainability of these fisheries on the West Coast of Vancouver Island. This project provides the opportunity for shared ownership of the Herring Renewal science process with Nuu-chah-nulth Nations ensuring their unique cultural and scientific perspectives are formally included in the management of Herring fisheries on the West Coast of Vancouver Island.,"Nuu-chah-nulth Tribal Council 
Fisheries and Oceans Canada (Science Branch)
Landmark Fisheries Research ",Pelagics
BCSRIF_2019_130,Cowichan River Salmon Restoration program - Sustainable Water Supply - Engineering,1,Cowichan Valley Regional District,Other,South Coast,Cowichan Lake,Infrastructure,8/1/2019,3/31/2024,The Cowichan Valley Regional District and partners including Cowichan Tribes will conduct an evaluation of the natural boundary of Cowichan Lake to support building critical new water storage infrastructure to provide flows required to sustain Cowichan salmon populations.,"Cowichan Valley Regional District
Cowichan Tribes
Paper Excellence
Cowichan Watershed Board",Pacific Salmon
BCSRIF_2019_136,Science-based review of hatchery results in the DFO Pacific Region,1,Pacific Salmon Foundation,Not-for-profit organization (ENGO),South Coast,Province-wide,Science partnerships,9/1/2019,3/31/2023,The Pacific Salmon Foundation (PSF) will conduct a science-based review of hatcheries in the Pacific Region (including community hatcheries and DFOs major facilities) to evaluate performance and the effectiveness of current genetic and genomic tools in order to optimize salmon production in BC.,Fisheries and Oceans Canada,Pacific Salmon
BCSRIF_2019_137,BC Fish Passage Joint Venture,1,Canadian Wildlife Federation,Not-for-profit organization (ENGO),BC Wide and Coastal Waters,BC Wide,Science partnerships,7/1/2019,3/31/2024,"The Canadian Wildlife Federation will bring together partners including federal and provincial governments, non-governmental organizations, First Nations and communities to prioritize fish passage remediation efforts across B.C. to maximize the benefits for steelhead trout and Pacific salmon.","Province of British Columbia
Canadian Wildlife Federation
Pacific Salmon Foundation
University of British Columbia
Pacific Streamkeepers Federation
Seymour River Salmonid Society
Squamish River Watershed Society
West Vancouver Streamkeepers Society
Mitacs
Takla First Nation
Royal Bank of Canada
BC Hydro
Other Federal Government Support (DFO contributions to remediation project planning and management)
Triton Environmental
Spruce City Wildlife Association
CP Rail
CN Rail
Scw’exmx Tribal Council
Fisheries and Oceans Canada 
Municipality of North Saanich 
RBC Bluewater
UBC effectiveness monitoring
Mitacs 
Mill Bay & District Conservation Society 
Canadian Wildlife Federation 
",Pacific Salmon
BCSRIF_2019_148,Kitwanga River Sockeye Salmon Recovery Plan Implementation,1,Gitanyow Fisheries Authority,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Skeena River,Science partnerships,10/1/2019,3/31/2024,The Gitanyow Fisheries Authority will undertake small scale enhancement and habitat restoration projects to maximize spawner success over the next five years and to identify the limiting factors to Kitwanga sockeye production. The goal of the project is to identify and develop solutions to ultimately stop and reverse the decline of Kitwanga sockeye and help rebuild the stock.,"Skeena Fisheries Commission, Gitanyow Hereditary Chiefs Office, Pacific Salmon Foundation, Skeena Wild Conservation Trust

",Pacific Salmon
BCSRIF_2019_172,Bear River Autonomous Salmon Enumeration,1,Skeena Fisheries Commission,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,"Bear River, Skeena River Watershed",Science partnerships,6/1/2020,3/31/2024,The Skeena Fisheries Commission will develop a semi-autonomous salmon enumeration fence to allow for more accurate monitoring of Bear River Watershed chinook coho and sockeye. Increased understanding of these populations will be used to inform future fisheries management approaches.,"Gitksan Watershed Authorities, Takla Lake First Nation",Pacific Salmon
BCSRIF_2019_181A,Promotion of Habitat Restoration and Stewardship on Agricultural Lands in the BC,1,BC Cattlemen’s Association Program Delivery Inc,Industry Association,Fraser and Interior,BCI,Innovation,7/15/2019,3/31/2024,The British Columbia Cattlemen's Association will deliver the Farmland riparian interface stewardship program promoting habitat restoration and stewardship on agricultural lands in BC. The program will encourage environmental farm planning within the agricultural sector for more “fish friendly” land management practices around riparian corridors as well as promoting water conservation for BC Interior salmon streams experiencing frequent critical low flows.,"Landowners , EFP 
NGO partnerships 
Gas tax
",Pacific Salmon
BCSRIF_2019_184A,IYS: International Pan-Pacific Salmon Expedition (2021),1,North Pacific Anadromous Fish Commission ,Not-for-profit organization (ENGO),BC Wide and Coastal Waters,Pacific Ocean,Science partnerships,8/15/2019,3/31/2024,International Year of the Salmon partners including the North Pacific Anadromous Fish Commission and the North Atlantic Salmon Conservation Organization will conduct pan-Pacific vessel surveys in winter/summer 2021 to monitor distribution abundance and productivity of salmon to directly inform fisheries management decision and enforcement efforts. This project will provide insight into how climate variability influences the distribution migration growth and fitness of Pacific salmon.,"NPAFC
PICES
Japan
Tula Foundation
Tula Foundation 
Canada (DFO/Coast Guard in kind ship time)
United States
Russia
North Pacific Research Board
North Pacific Fisheries Commission
Pacific Salmon Foundation
",Pacific Salmon
BCSRIF_2019_190,BC Fishing App,1,Sport Fishing Institute of BC,Industry Association,BC Wide and Coastal Waters,Pacific Ocean,Innovation,8/15/2019,3/31/2021,The Sport Fishing Institute (SFI) will develop the Fishing BC mobile app an online information and catch monitoring tool.,Sport Fishing Institute of BC,Pacific Salmon
BCSRIF_2019_191,Vision 2021,1,Sport Fishing Institute of BC,Industry Association,BC Wide and Coastal Waters,Pacific Ocean,Innovation,8/15/2019,3/31/2024,The project aims to improve representation of the fishing community and increase participation in the fishing sector by youth new Canadians and others.,,Pacific Salmon
BCSRIF_2019_192,Winter Salmon Survey in the Gulf of Alaska,1,Pacific Salmon Foundation,Not-for-profit organization (ENGO),BC Wide and Coastal Waters,Gulf of Alaska,Science partnerships,9/15/2019,3/31/2021,"This project will support a second year of international research in the Gulf of Alaska to study the abundance, health and habitat use of Pacific salmonids during winter conditions. This research will increase the understanding of the environmental factors affecting salmon production and allow researchers to consider strategies to address ecosystem change under future climate conditions.",,Pacific Salmon
BCSRIF_2020_198,The Fermentative production of Microalgae as food for juvenile bivalves in BC,1,Seed Science Ltd,Commercial Enterprise,South Coast,Nanaimo,Innovation,6/1/2021,3/31/2023,This project will investigate a more energy-efficient method to produce higher-quality algae as food for cultured bivalves. This project will result in the production of cheaper higher-quality food for bivalves and enable juvenile bivalve to be kept on land longer until they are big and healthy enough to better cope with the effects of ocean acidification when being introduced into the sea.,,Pacific Shellfish
